date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Dec 22 - Jan 19,"July 26, 2022","If you don't have plans to travel yet, bet you will soon. The heavens will soon be sending along a charming emissary to talk you into making tracks for exotic locales -- most likely somewhere you've never been.",Leo,Curious,Copper,56,7am,capricorn
May 21 - Jun 21,"July 26, 2022","It's not that you just adore secrets (although you do). Right now, they'll be coming your way from all directions. Prepare yourself to keep these top secret matters entirely to yourself.",Aries,Quiet,Teal,35,7am,gemini
Sep 23 - Oct 22,"July 26, 2022",A higher-up you're willing to swear has had you jumping through hoops is about to come clean and let you know the powers that be have big plans for you.,Gemini,Responsible,Spring Green,32,6pm,libra
Jan 20 - Feb 18,"July 26, 2022","A new friend or lover is due to cross your path soon, bringing along more than just temptation. This person stands to change a lot about you, including your opinions about some extremely delicate subjects.",Pisces,Productive,Sky Blue,50,12am,aquarius
Jun 22 - Jul 22,"July 26, 2022","Ready for some serious romance? You'd better be -- and from an unexpected venue, too. Someone you've thought of as nothing but a friend for possibly even years is about to hint that they'd like to change that.",Virgo,Loved,Yellow,74,4pm,cancer
Oct 23 - Nov 22,"July 26, 2022","An on-the-job situation that's previously been strictly business -- and absolutely nothing else -- is about to make a rapid-fire change. No more 'just the facts, ma'am' for this person. They want to get to know you better. Much better.",Leo,Confidence,Silver,37,5am,scorpio
Feb 19 - Mar 20,"July 26, 2022","Whether you're single or attached, you're going to have your hands full trying to drive off admirers. These won't be your run-of-the-mill prospective pursuers, either. Fasten your seat belt.",Aquarius,Charming,Rose Pink,96,11pm,pisces
Mar 21 - Apr 20,"July 27, 2022",You've been tottering on the edge of becoming up close and far more personally involved with someone -- and the universe is about to apply a bit of pressure to one side of the scales. Enjoy!,Taurus,Loved,Orchid,73,9am,aries
Jul 23 - Aug 22,"July 27, 2022","Up for giving someone a guided tour of the city? Or the state? Or the coast? Sure you are -- especially once you're introduced to them, and you realize how fascinating they are.",Sagittarius,Cool,Red,74,2am,leo
Nov 23 - Dec 21,"July 27, 2022","You may be spending some time alone, but you certainly won't be lonely. You've got a lot of thinking to do, and a couple of pet projects to finish up and you're determined to have it all done very, very soon.",Aquarius,Accomplished,Purple,51,1am,sagittarius
Apr 21 - May 20,"July 27, 2022","Enough with the intrigue. It's time for openness -- and maybe a little shopping. Combine the two. Let someone know what you're up to, and then buy what you need.",Virgo,Pleasant,Rose Pink,73,8pm,taurus
Aug 23 - Sep 22,"July 27, 2022","You're in a fine mood. Good for you. Who says there has to be a solid, 'logical' reason for you to be happy? You know you've got guardian angels, sent to guide you. Listen to 'em.",Sagittarius,Lucky,Pink,0,9am,virgo
Dec 22 - Jan 19,"July 27, 2022","Here comes another strong cosmic push to get the show on the road and head off to foreign shores. Well, it is the deep of winter, and a tan certainly couldn't hurt along with some serious relaxation. A cruise, maybe?",Leo,Relaxed,Peach,12,12pm,capricorn
May 21 - Jun 21,"July 27, 2022","Sshhh! Keeping a secret quiet now may be tough, but it will be the best thing you ever did for yourself, and for all parties concerned. And isn't it more exciting, anyway?",Aquarius,Thoughtful,Sky Blue,36,1am,gemini
Sep 23 - Oct 22,"July 27, 2022","Things have been going along at an amazingly fast pace lately, but you're up for it. So when that higher-up lets you know, once again, that they're interested in promoting you for bigger and better things, try to look surprised.",Aquarius,Successful,Shadow Black,16,8pm,libra
Jan 20 - Feb 18,"July 27, 2022","The host of yesterday's excitement will make a return engagement, inspiring a lovely, charming instant replay. And the added benefit? You'll be feeling bold enough to say whatever crosses your mind, too, making you equally exciting company. Nice, huh?",Aries,Pleasant,Pink,20,6am,aquarius
Jun 22 - Jul 22,"July 27, 2022","They're exciting, they're different and they have an accent you can't quite place. Doesn't get any better than this, does it? Be sure you take time to appreciate this. They're a gift from the heavens.",Virgo,Grateful,Rose Pink,62,7pm,cancer
Oct 23 - Nov 22,"July 27, 2022","The generosity of a family member will absolutely blow you away -- and to be honest, it's about time. You know you've gone out a limb for them many times before. Just accept the return graciously.",Capricorn,Generous,Yellow,80,10am,scorpio
Feb 19 - Mar 20,"July 27, 2022","Romance isn't exactly your cup of tea. You're ordinarily far more comfortable with being friends than with anything that's a bit too intimate. But at the moment, you just can't get enough of closeness. Go figure.",Taurus,Loved,Orange,57,1am,pisces
Mar 21 - Apr 20,"July 28, 2022","Talk about energy! You're quite literally on top of the world, both physically and mentally. Don't be afraid to spread some of those good feelings around. It's only fair to share the wealth.",Capricorn,Energetic,Blue,95,8am,aries
Jul 23 - Aug 22,"July 28, 2022","If only you were equally zealous about work yesterday. Still, if you've got a yellow legal pad and a pen, you can make up for lost time. Make some notes and put 'em in your briefcase. There. Now relax!",Capricorn,Relaxed,Spring Green,96,3pm,leo
Nov 23 - Dec 21,"July 28, 2022",Come on out. It's time to leave the dim lights behind and step right out into the spotlight -- and isn't it about time? You've been hiding your light under a barrel for far too long.,Cancer,Leading,Shadow Black,10,4am,sagittarius
Apr 21 - May 20,"July 28, 2022",Shopping excessively won't be a problem as long as you have someone with you who'll actually be able to tell you no. They won't meet much resistance. You just need that reminder.,Cancer,Crazy,Pink,36,10pm,taurus
Aug 23 - Sep 22,"July 28, 2022",You're feeling like you don't want to spend money on anything that you don't think is completely justified. Good for you! Remember what this feels like for use on future occasions.,Cancer,Smart,Shadow Black,43,3pm,virgo
Dec 22 - Jan 19,"July 28, 2022","The stars are in an especially good mood, so we'll all be in one, too. Your partner in particular will be in a great mood, a direct result of what you've done for them recently.",Libra,Thoughtful,Peach,21,11pm,capricorn
May 21 - Jun 21,"July 28, 2022",That higher-up who's been grilling you lately? Go easy on them. They're already returning the favor. They may be overlooking certain things to bump you up a step or two. Be nice. Just in case.,Scorpio,Calm,Silver,0,11pm,gemini
Sep 23 - Oct 22,"July 28, 2022","Settle down, now. You can forget about work-related matters, for at least a few precious hours. Get over that early morning crankiness, and enjoy a surprising evening. That's a direct order from your astrologer.",Taurus,Cool,Blue,6,4pm,libra
Jan 20 - Feb 18,"July 28, 2022","You're ordinarily considerate and accommodating, but lately you've been all about having a diva-licious good time. You're beginning to wonder if you've been possessed by an alien. Oh, don't worry. At least it's not a boring alien.",Sagittarius,Dreamy,Teal,22,11am,aquarius
Jun 22 - Jul 22,"July 28, 2022","You never thought you'd be in the mood to work overtime, but here you are -- to-do list in hand, totally unwilling to be coerced into leaving the premises until your list is completed. Don't worry. It's temporary.",Virgo,Stressed,Rose Pink,15,3pm,cancer
Oct 23 - Nov 22,"July 28, 2022","An ordinary attraction could turn into a passionate romance in a matter of seconds. One simple hand-holding session across the dinner table will do it. Provided there are candles and soft music handy, of course.",Taurus,Sweet,Red,57,3pm,scorpio
Feb 19 - Mar 20,"July 28, 2022",That exotic new friend who's been casually flirting with you? The one who seems to be saying all the right things at all the right times? It's not an accident. They've done their homework.,Gemini,Loved,Gold,50,4am,pisces
Mar 21 - Apr 20,"July 29, 2022","A teeny little tiff this morning could get the day off to a somewhat rocky start, but once that's over, you'll be in fine shape. An early evening change of plans will make things more unpredictable -- and more fun.",Gemini,Fun,Teal,57,3pm,aries
Jul 23 - Aug 22,"July 29, 2022","A coworker you've been keeping track of will ask you to please let up a little. They may not be ready to tell you why they're doing what they're doing, but you'll have a chance to understand if you can relax. Take it.",Cancer,Friendly,Spring Green,67,10pm,leo
Nov 23 - Dec 21,"July 29, 2022","Better warn your dear ones now that getting on your bad side now -- regardless of how unintentional it may be -- wouldn't be a great idea. You're loaded for bear, and just itching to roar.",Taurus,Serious,Silver,52,6am,sagittarius
Apr 21 - May 20,"July 29, 2022","Heaven help anyone who tries to challenge your verbal skills at the moment. You not only won't be patient, you'll be totally unwilling to let anyone's unnecessary provocation slide. Good for you.",Leo,Aggressive,Blue,97,3pm,taurus
Aug 23 - Sep 22,"July 29, 2022","Feeling impulsive? Even when you swore you wouldn't be ever again? Yep. This time out, however, you want to buy only what you need -- and only if you can't manage without it. It's time for one more spree. The necessary kind.",Cancer,Crazy,Silver,96,1pm,virgo
Dec 22 - Jan 19,"July 29, 2022",If someone tries to talk you into taking a chance -- one that's not quite well-calculated -- your antennae will quite naturally go off. That sound you'll be hearing in the back of your mind might be a warning bell.,Cancer,Cautious,Navy Blue,29,10pm,capricorn
May 21 - Jun 21,"July 29, 2022","No one said it would be easy, but you'll prove your mettle to someone in authority right now. Before the need arises, convince yourself that firmness is your middle name.",Taurus,Successful,Pink,41,5am,gemini
Sep 23 - Oct 22,"July 29, 2022","You've been mulling over going back to school to expand your current credentials. You're nothing if not practical, so if a couple of hours a week makes you more 'marketable,' you'll be up for it. Especially now.",Scorpio,Diligent,Teal,3,4pm,libra
